15
5
3
62	62	62	62	62	
10
10
8	10	12	
0	0	0	
3.84	3.7	3.51	3.38	3.35	3.18	3.09	2.97	2.91	2.4	2.1	1.63	1.19	1.16	0.82	
113	116	115	84	62	
60	75	136	53	88	
60	54	100	93	136	
94	103	94	64	68	
57	70	71	82	85	
89	97	82	55	106	
71	57	76	135	94	
111	126	126	113	95	
139	110	107	109	123	
141	69	114	104	113	
91	64	114	96	148	
103	52	97	135	107	
149	103	113	139	118	
124	113	129	110	114	
105	79	107	73	105	
200	200	200	200	200	
20	20	20	20	20	
1.6	1.6	1.6	1.6	1.6	
1.1	1.1	1.1	1.1	1.1	
10	10	10	10	10	
10	10	10	10	10	
10	10	10	10	10	
1.92	1.92	1.92	1.92	1.92	
1.85	1.85	1.85	1.85	1.85	
1.755	1.755	1.755	1.755	1.755	
1.69	1.69	1.69	1.69	1.69	
1.675	1.675	1.675	1.675	1.675	
1.59	1.59	1.59	1.59	1.59	
1.545	1.545	1.545	1.545	1.545	
1.485	1.485	1.485	1.485	1.485	
1.455	1.455	1.455	1.455	1.455	
1.2	1.2	1.2	1.2	1.2	
1.05	1.05	1.05	1.05	1.05	
0.815	0.815	0.815	0.815	0.815	
0.595	0.595	0.595	0.595	0.595	
0.58	0.58	0.58	0.58	0.58	
0.41	0.41	0.41	0.41	0.41	
0.96	0.96	0.96	0.96	0.96	
0.925	0.925	0.925	0.925	0.925	
0.8775	0.8775	0.8775	0.8775	0.8775	
0.845	0.845	0.845	0.845	0.845	
0.8375	0.8375	0.8375	0.8375	0.8375	
0.795	0.795	0.795	0.795	0.795	
0.7725	0.7725	0.7725	0.7725	0.7725	
0.7425	0.7425	0.7425	0.7425	0.7425	
0.7275	0.7275	0.7275	0.7275	0.7275	
0.6	0.6	0.6	0.6	0.6	
0.525	0.525	0.525	0.525	0.525	
0.4075	0.4075	0.4075	0.4075	0.4075	
0.2975	0.2975	0.2975	0.2975	0.2975	
0.29	0.29	0.29	0.29	0.29	
0.205	0.205	0.205	0.205	0.205	
