10
15
8
38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	
10
10
8	10	12	14	16	18	20	22	
0	0	0	0	0	0	0	0	
3.69	3.45	2.56	2.47	2.15	1.98	1.64	1.58	1.24	1.12	
139	78	104	81	121	60	96	115	93	124	133	69	57	111	72	
135	109	87	67	115	114	135	57	130	98	88	82	95	55	93	
73	65	142	63	117	103	102	68	65	86	137	76	67	135	121	
137	68	74	51	55	98	114	76	51	134	106	101	62	146	99	
101	80	93	111	105	141	130	70	111	106	95	122	137	100	52	
92	140	91	75	88	148	77	52	134	103	73	75	51	114	66	
77	50	99	55	77	148	75	97	96	120	89	118	143	115	112	
140	119	98	98	77	108	118	77	145	139	141	118	118	54	141	
64	142	118	82	66	74	143	147	125	134	145	82	144	129	63	
92	68	62	115	63	86	107	121	102	106	113	81	88	54	81	
200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	
1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
1.845	1.845	1.845	1.845	1.845	1.845	1.845	1.845	1.845	1.845	1.845	1.845	1.845	1.845	1.845	
1.725	1.725	1.725	1.725	1.725	1.725	1.725	1.725	1.725	1.725	1.725	1.725	1.725	1.725	1.725	
1.28	1.28	1.28	1.28	1.28	1.28	1.28	1.28	1.28	1.28	1.28	1.28	1.28	1.28	1.28	
1.235	1.235	1.235	1.235	1.235	1.235	1.235	1.235	1.235	1.235	1.235	1.235	1.235	1.235	1.235	
1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	
0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	
0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82	
0.79	0.79	0.79	0.79	0.79	0.79	0.79	0.79	0.79	0.79	0.79	0.79	0.79	0.79	0.79	
0.62	0.62	0.62	0.62	0.62	0.62	0.62	0.62	0.62	0.62	0.62	0.62	0.62	0.62	0.62	
0.56	0.56	0.56	0.56	0.56	0.56	0.56	0.56	0.56	0.56	0.56	0.56	0.56	0.56	0.56	
0.9225	0.9225	0.9225	0.9225	0.9225	0.9225	0.9225	0.9225	0.9225	0.9225	0.9225	0.9225	0.9225	0.9225	0.9225	
0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	
0.64	0.64	0.64	0.64	0.64	0.64	0.64	0.64	0.64	0.64	0.64	0.64	0.64	0.64	0.64	
0.6175	0.6175	0.6175	0.6175	0.6175	0.6175	0.6175	0.6175	0.6175	0.6175	0.6175	0.6175	0.6175	0.6175	0.6175	
0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	
0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	
0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.41	
0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	
0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	
0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	
