5
5
3
19	19	19	19	19	
10
10
8	10	12	
0	0	0	
3.61	3.52	1.77	1.74	0.94	
50	77	121	114	51	
52	108	104	80	101	
94	71	82	63	125	
73	91	106	65	79	
109	109	118	128	88	
200	200	200	200	200	
20	20	20	20	20	
1.6	1.6	1.6	1.6	1.6	
1.1	1.1	1.1	1.1	1.1	
10	10	10	10	10	
10	10	10	10	10	
10	10	10	10	10	
1.805	1.805	1.805	1.805	1.805	
1.76	1.76	1.76	1.76	1.76	
0.885	0.885	0.885	0.885	0.885	
0.87	0.87	0.87	0.87	0.87	
0.47	0.47	0.47	0.47	0.47	
0.9025	0.9025	0.9025	0.9025	0.9025	
0.88	0.88	0.88	0.88	0.88	
0.4425	0.4425	0.4425	0.4425	0.4425	
0.435	0.435	0.435	0.435	0.435	
0.235	0.235	0.235	0.235	0.235	
