5
5
3
27	27	27	27	27	
10
10
8	10	12	
0	0	0	
3.98	3.92	2.31	2.3	2	
122	81	83	146	78	
78	58	113	85	64	
74	78	93	140	72	
123	68	119	106	93	
77	70	112	139	94	
200	200	200	200	200	
20	20	20	20	20	
1.6	1.6	1.6	1.6	1.6	
1.1	1.1	1.1	1.1	1.1	
10	10	10	10	10	
10	10	10	10	10	
10	10	10	10	10	
1.99	1.99	1.99	1.99	1.99	
1.96	1.96	1.96	1.96	1.96	
1.155	1.155	1.155	1.155	1.155	
1.15	1.15	1.15	1.15	1.15	
1	1	1	1	1	
0.995	0.995	0.995	0.995	0.995	
0.98	0.98	0.98	0.98	0.98	
0.5775	0.5775	0.5775	0.5775	0.5775	
0.575	0.575	0.575	0.575	0.575	
0.5	0.5	0.5	0.5	0.5	
