10
15
8
37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	
10
10
8	10	12	14	16	18	20	22	
0	0	0	0	0	0	0	0	
3.64	2.69	2.69	2.56	2.27	2.07	1.62	1.58	1.34	0.9	
135	124	62	143	66	75	66	90	53	105	144	94	121	138	53	
101	113	92	68	119	94	66	63	113	138	81	114	89	103	126	
118	133	82	76	62	91	127	108	61	92	60	86	110	130	146	
129	116	142	111	110	140	70	52	65	77	89	93	60	98	73	
54	60	90	109	96	141	144	55	149	106	68	110	64	61	98	
50	117	100	65	101	139	99	111	132	147	76	115	86	64	121	
67	61	91	133	131	128	61	58	117	101	90	149	135	55	125	
50	138	64	145	73	148	121	50	126	57	73	65	97	53	142	
63	125	69	77	137	97	66	145	136	111	122	67	99	113	126	
128	69	54	124	142	131	70	130	104	107	124	50	132	118	83	
200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	
1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
1.82	1.82	1.82	1.82	1.82	1.82	1.82	1.82	1.82	1.82	1.82	1.82	1.82	1.82	1.82	
1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	
1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	
1.28	1.28	1.28	1.28	1.28	1.28	1.28	1.28	1.28	1.28	1.28	1.28	1.28	1.28	1.28	
1.135	1.135	1.135	1.135	1.135	1.135	1.135	1.135	1.135	1.135	1.135	1.135	1.135	1.135	1.135	
1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	
0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	
0.79	0.79	0.79	0.79	0.79	0.79	0.79	0.79	0.79	0.79	0.79	0.79	0.79	0.79	0.79	
0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	
0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	
0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	
0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	
0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	
0.64	0.64	0.64	0.64	0.64	0.64	0.64	0.64	0.64	0.64	0.64	0.64	0.64	0.64	0.64	
0.5675	0.5675	0.5675	0.5675	0.5675	0.5675	0.5675	0.5675	0.5675	0.5675	0.5675	0.5675	0.5675	0.5675	0.5675	
0.5175	0.5175	0.5175	0.5175	0.5175	0.5175	0.5175	0.5175	0.5175	0.5175	0.5175	0.5175	0.5175	0.5175	0.5175	
0.405	0.405	0.405	0.405	0.405	0.405	0.405	0.405	0.405	0.405	0.405	0.405	0.405	0.405	0.405	
0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	
0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	
0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	
