15
5
8
56	56	56	56	56	
10
10
8	10	12	14	16	18	20	22	
0	0	0	0	0	0	0	0	
3.67	3.27	3.22	3.01	2.81	2.65	2.54	2.53	2.43	2.35	1.97	1.94	1.35	1.3	0.72	
118	139	130	148	133	
130	73	91	116	93	
126	89	68	149	126	
77	58	73	70	104	
87	137	135	132	52	
60	130	84	60	98	
90	99	68	90	107	
96	73	140	56	149	
138	126	130	62	64	
88	54	61	74	106	
140	116	101	125	118	
98	134	117	113	82	
82	129	131	140	118	
115	52	117	131	73	
80	117	66	92	53	
200	200	200	200	200	
20	20	20	20	20	
1.6	1.6	1.6	1.6	1.6	
1.1	1.1	1.1	1.1	1.1	
10	10	10	10	10	
10	10	10	10	10	
10	10	10	10	10	
10	10	10	10	10	
10	10	10	10	10	
10	10	10	10	10	
10	10	10	10	10	
10	10	10	10	10	
1.835	1.835	1.835	1.835	1.835	
1.635	1.635	1.635	1.635	1.635	
1.61	1.61	1.61	1.61	1.61	
1.505	1.505	1.505	1.505	1.505	
1.405	1.405	1.405	1.405	1.405	
1.325	1.325	1.325	1.325	1.325	
1.27	1.27	1.27	1.27	1.27	
1.265	1.265	1.265	1.265	1.265	
1.215	1.215	1.215	1.215	1.215	
1.175	1.175	1.175	1.175	1.175	
0.985	0.985	0.985	0.985	0.985	
0.97	0.97	0.97	0.97	0.97	
0.675	0.675	0.675	0.675	0.675	
0.65	0.65	0.65	0.65	0.65	
0.36	0.36	0.36	0.36	0.36	
0.9175	0.9175	0.9175	0.9175	0.9175	
0.8175	0.8175	0.8175	0.8175	0.8175	
0.805	0.805	0.805	0.805	0.805	
0.7525	0.7525	0.7525	0.7525	0.7525	
0.7025	0.7025	0.7025	0.7025	0.7025	
0.6625	0.6625	0.6625	0.6625	0.6625	
0.635	0.635	0.635	0.635	0.635	
0.6325	0.6325	0.6325	0.6325	0.6325	
0.6075	0.6075	0.6075	0.6075	0.6075	
0.5875	0.5875	0.5875	0.5875	0.5875	
0.4925	0.4925	0.4925	0.4925	0.4925	
0.485	0.485	0.485	0.485	0.485	
0.3375	0.3375	0.3375	0.3375	0.3375	
0.325	0.325	0.325	0.325	0.325	
0.18	0.18	0.18	0.18	0.18	
