10
5
5
45	45	45	45	45	
10
10
8	10	12	14	16	
0	0	0	0	0	
3.9	3.85	3.76	3.72	3.63	3.09	1.87	1.79	1.7	0.87	
108	140	84	51	141	
72	89	122	56	63	
52	98	114	141	52	
117	99	109	139	107	
74	83	116	149	82	
61	70	60	95	139	
148	68	52	87	101	
114	110	64	103	132	
77	53	126	137	134	
108	142	101	104	87	
200	200	200	200	200	
20	20	20	20	20	
1.6	1.6	1.6	1.6	1.6	
1.1	1.1	1.1	1.1	1.1	
10	10	10	10	10	
10	10	10	10	10	
10	10	10	10	10	
10	10	10	10	10	
10	10	10	10	10	
1.95	1.95	1.95	1.95	1.95	
1.925	1.925	1.925	1.925	1.925	
1.88	1.88	1.88	1.88	1.88	
1.86	1.86	1.86	1.86	1.86	
1.815	1.815	1.815	1.815	1.815	
1.545	1.545	1.545	1.545	1.545	
0.935	0.935	0.935	0.935	0.935	
0.895	0.895	0.895	0.895	0.895	
0.85	0.85	0.85	0.85	0.85	
0.435	0.435	0.435	0.435	0.435	
0.975	0.975	0.975	0.975	0.975	
0.9625	0.9625	0.9625	0.9625	0.9625	
0.94	0.94	0.94	0.94	0.94	
0.93	0.93	0.93	0.93	0.93	
0.9075	0.9075	0.9075	0.9075	0.9075	
0.7725	0.7725	0.7725	0.7725	0.7725	
0.4675	0.4675	0.4675	0.4675	0.4675	
0.4475	0.4475	0.4475	0.4475	0.4475	
0.425	0.425	0.425	0.425	0.425	
0.2175	0.2175	0.2175	0.2175	0.2175	
