15
10
3
63	63	63	63	63	63	63	63	63	63	
10
10
8	10	12	
0	0	0	
3.95	3.9	3.83	2.58	2.54	2.41	2.39	2.31	2.16	2	1.93	1.16	1.15	1.1	0.73	
68	96	98	87	105	96	63	119	140	110	
52	58	70	53	149	148	141	51	132	122	
139	93	89	145	147	83	62	142	89	138	
131	61	104	78	58	105	57	66	71	87	
89	57	105	79	119	68	80	68	131	142	
142	76	102	111	51	131	63	139	62	126	
57	149	53	123	62	107	64	99	68	117	
101	65	138	122	66	69	101	65	131	147	
127	96	86	133	88	145	140	146	131	146	
122	129	131	130	143	109	115	92	144	114	
71	104	105	124	96	132	74	74	53	133	
130	138	67	122	107	63	90	71	78	79	
117	74	140	134	120	110	114	134	71	101	
84	105	86	96	80	136	143	140	129	81	
95	67	114	87	61	115	109	144	56	146	
200	200	200	200	200	200	200	200	200	200	
20	20	20	20	20	20	20	20	20	20	
1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	
1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	
10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	
1.975	1.975	1.975	1.975	1.975	1.975	1.975	1.975	1.975	1.975	
1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	
1.915	1.915	1.915	1.915	1.915	1.915	1.915	1.915	1.915	1.915	
1.29	1.29	1.29	1.29	1.29	1.29	1.29	1.29	1.29	1.29	
1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	
1.205	1.205	1.205	1.205	1.205	1.205	1.205	1.205	1.205	1.205	
1.195	1.195	1.195	1.195	1.195	1.195	1.195	1.195	1.195	1.195	
1.155	1.155	1.155	1.155	1.155	1.155	1.155	1.155	1.155	1.155	
1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	
1	1	1	1	1	1	1	1	1	1	
0.965	0.965	0.965	0.965	0.965	0.965	0.965	0.965	0.965	0.965	
0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58	
0.575	0.575	0.575	0.575	0.575	0.575	0.575	0.575	0.575	0.575	
0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	
0.365	0.365	0.365	0.365	0.365	0.365	0.365	0.365	0.365	0.365	
0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	
0.975	0.975	0.975	0.975	0.975	0.975	0.975	0.975	0.975	0.975	
0.9575	0.9575	0.9575	0.9575	0.9575	0.9575	0.9575	0.9575	0.9575	0.9575	
0.645	0.645	0.645	0.645	0.645	0.645	0.645	0.645	0.645	0.645	
0.635	0.635	0.635	0.635	0.635	0.635	0.635	0.635	0.635	0.635	
0.6025	0.6025	0.6025	0.6025	0.6025	0.6025	0.6025	0.6025	0.6025	0.6025	
0.5975	0.5975	0.5975	0.5975	0.5975	0.5975	0.5975	0.5975	0.5975	0.5975	
0.5775	0.5775	0.5775	0.5775	0.5775	0.5775	0.5775	0.5775	0.5775	0.5775	
0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	
0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	
0.4825	0.4825	0.4825	0.4825	0.4825	0.4825	0.4825	0.4825	0.4825	0.4825	
0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	
0.2875	0.2875	0.2875	0.2875	0.2875	0.2875	0.2875	0.2875	0.2875	0.2875	
0.275	0.275	0.275	0.275	0.275	0.275	0.275	0.275	0.275	0.275	
0.1825	0.1825	0.1825	0.1825	0.1825	0.1825	0.1825	0.1825	0.1825	0.1825	
