15
5
5
67	67	67	67	67	
10
10
8	10	12	14	16	
0	0	0	0	0	
3.97	3.85	3.72	3.41	2.75	2.71	2.57	2.51	2.48	2.28	2.22	2.05	1.72	1.69	1.44	
98	146	140	56	149	
80	50	104	126	107	
93	149	62	60	132	
147	104	120	81	60	
64	137	108	134	120	
144	130	142	142	93	
83	131	136	71	56	
87	117	51	119	70	
147	63	140	81	137	
99	113	106	91	138	
140	73	116	145	75	
50	71	132	137	115	
149	90	95	101	50	
51	93	134	50	100	
146	103	130	82	93	
200	200	200	200	200	
20	20	20	20	20	
1.6	1.6	1.6	1.6	1.6	
1.1	1.1	1.1	1.1	1.1	
10	10	10	10	10	
10	10	10	10	10	
10	10	10	10	10	
10	10	10	10	10	
10	10	10	10	10	
1.985	1.985	1.985	1.985	1.985	
1.925	1.925	1.925	1.925	1.925	
1.86	1.86	1.86	1.86	1.86	
1.705	1.705	1.705	1.705	1.705	
1.375	1.375	1.375	1.375	1.375	
1.355	1.355	1.355	1.355	1.355	
1.285	1.285	1.285	1.285	1.285	
1.255	1.255	1.255	1.255	1.255	
1.24	1.24	1.24	1.24	1.24	
1.14	1.14	1.14	1.14	1.14	
1.11	1.11	1.11	1.11	1.11	
1.025	1.025	1.025	1.025	1.025	
0.86	0.86	0.86	0.86	0.86	
0.845	0.845	0.845	0.845	0.845	
0.72	0.72	0.72	0.72	0.72	
0.9925	0.9925	0.9925	0.9925	0.9925	
0.9625	0.9625	0.9625	0.9625	0.9625	
0.93	0.93	0.93	0.93	0.93	
0.8525	0.8525	0.8525	0.8525	0.8525	
0.6875	0.6875	0.6875	0.6875	0.6875	
0.6775	0.6775	0.6775	0.6775	0.6775	
0.6425	0.6425	0.6425	0.6425	0.6425	
0.6275	0.6275	0.6275	0.6275	0.6275	
0.62	0.62	0.62	0.62	0.62	
0.57	0.57	0.57	0.57	0.57	
0.555	0.555	0.555	0.555	0.555	
0.5125	0.5125	0.5125	0.5125	0.5125	
0.43	0.43	0.43	0.43	0.43	
0.4225	0.4225	0.4225	0.4225	0.4225	
0.36	0.36	0.36	0.36	0.36	
