15
5
3
40	40	40	40	40	
10
10
8	10	12	
0	0	0	
3.29	2.37	2.35	2.16	1.93	1.82	1.7	1.56	1.53	1.48	1.07	0.82	0.7	0.62	0.61	
103	69	87	88	120	
51	79	59	57	113	
59	84	131	149	123	
130	126	67	119	96	
95	104	73	83	119	
115	63	111	146	54	
102	73	60	126	69	
72	64	65	129	124	
78	79	62	134	110	
146	98	53	129	63	
57	124	103	74	77	
145	54	121	147	90	
82	83	145	102	50	
142	133	122	70	128	
122	72	89	134	109	
200	200	200	200	200	
20	20	20	20	20	
1.6	1.6	1.6	1.6	1.6	
1.1	1.1	1.1	1.1	1.1	
10	10	10	10	10	
10	10	10	10	10	
10	10	10	10	10	
1.645	1.645	1.645	1.645	1.645	
1.185	1.185	1.185	1.185	1.185	
1.175	1.175	1.175	1.175	1.175	
1.08	1.08	1.08	1.08	1.08	
0.965	0.965	0.965	0.965	0.965	
0.91	0.91	0.91	0.91	0.91	
0.85	0.85	0.85	0.85	0.85	
0.78	0.78	0.78	0.78	0.78	
0.765	0.765	0.765	0.765	0.765	
0.74	0.74	0.74	0.74	0.74	
0.535	0.535	0.535	0.535	0.535	
0.41	0.41	0.41	0.41	0.41	
0.35	0.35	0.35	0.35	0.35	
0.31	0.31	0.31	0.31	0.31	
0.305	0.305	0.305	0.305	0.305	
0.8225	0.8225	0.8225	0.8225	0.8225	
0.5925	0.5925	0.5925	0.5925	0.5925	
0.5875	0.5875	0.5875	0.5875	0.5875	
0.54	0.54	0.54	0.54	0.54	
0.4825	0.4825	0.4825	0.4825	0.4825	
0.455	0.455	0.455	0.455	0.455	
0.425	0.425	0.425	0.425	0.425	
0.39	0.39	0.39	0.39	0.39	
0.3825	0.3825	0.3825	0.3825	0.3825	
0.37	0.37	0.37	0.37	0.37	
0.2675	0.2675	0.2675	0.2675	0.2675	
0.205	0.205	0.205	0.205	0.205	
0.175	0.175	0.175	0.175	0.175	
0.155	0.155	0.155	0.155	0.155	
0.1525	0.1525	0.1525	0.1525	0.1525	
