10
10
3
48	48	48	48	48	48	48	48	48	48	
10
10
8	10	12	
0	0	0	
3.83	3.71	3.51	3.32	3.07	2.92	2.84	2.44	1.89	0.83	
87	134	65	134	129	90	78	58	63	67	
117	56	142	96	69	144	100	79	142	130	
113	98	126	110	68	113	126	114	76	134	
103	132	142	116	73	55	72	100	91	84	
118	136	52	84	72	127	73	108	121	142	
97	116	114	111	98	72	98	107	80	124	
121	56	86	117	62	133	139	144	89	94	
139	119	72	51	104	106	78	83	67	116	
138	132	146	85	149	96	149	134	54	55	
111	139	141	132	92	77	98	146	113	108	
200	200	200	200	200	200	200	200	200	200	
20	20	20	20	20	20	20	20	20	20	
1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	
1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	
10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	
1.915	1.915	1.915	1.915	1.915	1.915	1.915	1.915	1.915	1.915	
1.855	1.855	1.855	1.855	1.855	1.855	1.855	1.855	1.855	1.855	
1.755	1.755	1.755	1.755	1.755	1.755	1.755	1.755	1.755	1.755	
1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66	
1.535	1.535	1.535	1.535	1.535	1.535	1.535	1.535	1.535	1.535	
1.46	1.46	1.46	1.46	1.46	1.46	1.46	1.46	1.46	1.46	
1.42	1.42	1.42	1.42	1.42	1.42	1.42	1.42	1.42	1.42	
1.22	1.22	1.22	1.22	1.22	1.22	1.22	1.22	1.22	1.22	
0.945	0.945	0.945	0.945	0.945	0.945	0.945	0.945	0.945	0.945	
0.415	0.415	0.415	0.415	0.415	0.415	0.415	0.415	0.415	0.415	
0.9575	0.9575	0.9575	0.9575	0.9575	0.9575	0.9575	0.9575	0.9575	0.9575	
0.9275	0.9275	0.9275	0.9275	0.9275	0.9275	0.9275	0.9275	0.9275	0.9275	
0.8775	0.8775	0.8775	0.8775	0.8775	0.8775	0.8775	0.8775	0.8775	0.8775	
0.83	0.83	0.83	0.83	0.83	0.83	0.83	0.83	0.83	0.83	
0.7675	0.7675	0.7675	0.7675	0.7675	0.7675	0.7675	0.7675	0.7675	0.7675	
0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.73	
0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	
0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	
0.4725	0.4725	0.4725	0.4725	0.4725	0.4725	0.4725	0.4725	0.4725	0.4725	
0.2075	0.2075	0.2075	0.2075	0.2075	0.2075	0.2075	0.2075	0.2075	0.2075	
