15
15
5
52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	
10
10
8	10	12	14	16	
0	0	0	0	0	
3.52	3.41	3.19	2.85	2.76	2.19	2.17	2.06	1.68	1.49	1.45	1.13	1.04	0.86	0.67	
122	84	98	145	143	123	69	98	114	93	109	103	83	79	138	
96	141	88	134	60	108	81	65	73	139	130	95	82	149	127	
99	116	112	148	66	79	106	124	148	61	59	68	139	69	118	
111	134	138	84	121	59	138	54	60	100	133	67	143	55	61	
65	53	64	84	106	136	55	91	110	79	114	104	55	120	83	
71	69	130	78	145	139	130	105	111	54	100	129	65	132	117	
73	92	144	135	137	120	60	108	64	110	63	118	124	103	136	
134	90	61	139	80	125	142	86	106	124	145	98	117	56	140	
112	112	66	83	90	119	65	134	110	51	66	107	73	110	69	
56	124	142	111	68	131	144	88	83	86	127	107	118	144	98	
112	90	133	74	126	51	71	122	56	62	73	66	77	66	80	
63	86	97	50	99	111	98	147	76	103	54	113	55	59	122	
115	101	54	111	105	66	84	127	91	95	112	98	115	114	148	
115	57	149	114	81	133	146	89	74	122	94	97	99	61	107	
83	55	67	116	125	92	119	71	112	119	115	132	51	136	54	
200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	
1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
1.76	1.76	1.76	1.76	1.76	1.76	1.76	1.76	1.76	1.76	1.76	1.76	1.76	1.76	1.76	
1.705	1.705	1.705	1.705	1.705	1.705	1.705	1.705	1.705	1.705	1.705	1.705	1.705	1.705	1.705	
1.595	1.595	1.595	1.595	1.595	1.595	1.595	1.595	1.595	1.595	1.595	1.595	1.595	1.595	1.595	
1.425	1.425	1.425	1.425	1.425	1.425	1.425	1.425	1.425	1.425	1.425	1.425	1.425	1.425	1.425	
1.38	1.38	1.38	1.38	1.38	1.38	1.38	1.38	1.38	1.38	1.38	1.38	1.38	1.38	1.38	
1.095	1.095	1.095	1.095	1.095	1.095	1.095	1.095	1.095	1.095	1.095	1.095	1.095	1.095	1.095	
